loc_id,loc_label,loc_type,loc_direction,lat,lon,zone,buffer,interval,first_runner,peak_start,peak_end,last_runner,loc_start,loc_end,duration,timing_source,awp_count,caf_count,fdsa_count,fpf_count,ofc_count,sja_count,vol_count,yssr_count,awp_mins,caf_mins,fdsa_mins,fpf_mins,ofc_mins,sja_mins,vol_mins,yssr_mins,notes,flag,flagged_seg_id,flag_severity,flag_worst_los,flag_note
29,Westmorland and Queen,traffic,Northside Access,45.963962,-66.645133,1,10,5,,,,,06:15:00,08:25:00,130.0,proxy:38,1,0,0,1,0,0,0,0,130,0,0,130,0,0,0,0,Direct traffic on to the Westmorland Street Bridge during the partial closure.,True,A3,watch,A,"66 bins flagged, severity: watch"
30,Southside of Bridge,traffic,Northbound Traffic,45.963908,-66.645395,1,10,5,,,,,06:15:00,08:25:00,130.0,proxy:38,0,0,0,1,0,0,0,0,0,0,0,130,0,0,0,0,Pat Olsen: Will have a police offer on each side of the bridge starting at 6am. *Note: confirm with Pat if 06:30 is fine -- 1hr before*,True,A3,watch,A,"66 bins flagged, severity: watch"
31,St. Anne's Point and Queen Street,course,Northside Access,45.961142,-66.638526,1,10,5,07:03:39,07:25:15,07:46:18,07:53:36,06:15:00,08:05:00,110.0,modeled,2,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,1 TCP Truck Required. Block traffic from going on to St. Anne's Point from Queen & St John Streets (which are already barricaded). ,True,A2,watch,B,"55 bins flagged, severity: watch"
32,Regent and Queen,course,Northside Access,45.961102,-66.63874,1,10,5,07:03:40,07:25:16,07:46:19,07:53:38,06:15:00,08:05:00,110.0,modeled,1,0,0,1,0,0,0,0,110,0,0,110,0,0,0,0,1 TCP Truck Required. Block traffic from going on to St. Anne's Point and right onto Queen Street. All traffic must turn left on Queen St. heading West.,True,A2,watch,B,"55 bins flagged, severity: watch"
33,Buffer Lane (WSB Bridge),course,Northbound Traffic,45.968345,-66.642756,1,10,5,07:05:19,07:28:08,07:50:18,08:06:32,06:15:00,08:20:00,125.0,modeled,4,0,0,1,0,0,0,0,500,0,0,125,0,0,0,0,2 TCP Trucks Required in Buffer. Partial Closure in Place by 07:00 a.m. Estimating last runner will cross bridge by 8:30 a.m. 45-mins for CoF Traffic to pick up candles. Bridge will reopen no later than 9:30am.,True,A2,watch,B,"55 bins flagged, severity: watch"
34,Westmorland Street Bridge and Cliffe Street Off Ramp,course,Northbound Traffic,45.970217,-66.64178,1,10,5,07:08:30,07:31:49,07:53:27,08:09:21,06:15:00,08:20:00,125.0,modeled,1,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,Ramp before Union St. Close off ramp to prevent runners from taking the wrong way. Lift resource after last runner; ramp remains inaccessible until bridge re-opened by FPF and City Traffic,True,A3,watch,A,"66 bins flagged, severity: watch"
35,Northside of Bridge ,traffic,Southbound Traffic,45.976588,-66.638132,1,10,5,,,,,06:15:00,08:25:00,130.0,proxy:38,0,0,0,1,0,0,0,0,0,0,0,130,0,0,0,0,Estimating last runner will cross bridge by 830am. 45 minutes for traffic to pick up candles. Bridge will reopen no later than 9:30am.,True,A3,watch,A,"66 bins flagged, severity: watch"
36,Main Street at Devonshire Drive,traffic,East to Union St.,45.974748,-66.644237,2,10,5,,,,,06:15:00,08:25:00,130.0,proxy:38,1,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,1 TCP Truck Required. Close access to Union Street.  Drivers can use Devonshire Dr. as alternate. Access closed until all runners off the bridge and across to the Northside Trail.,True,A3,watch,A,"66 bins flagged, severity: watch"
37,Union Street and Douglas Avenue,traffic,Close access to eastbound on Union to Main. ,45.974085,-66.642037,2,10,5,,,,,06:15:00,08:25:00,130.0,proxy:38,1,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,"Close access to Union Street.  Access closed until all runners off the bridge. Drivers permitted to turn onto Main Street, heading West.",True,A3,watch,A,"66 bins flagged, severity: watch"
38,Union Street (End of Ramp),course,Direct Runners down Union to Friel Street,45.973346,-66.639741,2,10,5,07:10:00,07:33:48,07:55:36,08:14:08,06:15:00,08:25:00,130.0,modeled,1,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,Close access to Union Street at Friel and Douglas and remains closed until all runners off the bridge.  Direct runners to head East on Union to be directed up Friel street.,True,A3,watch,A,"66 bins flagged, severity: watch"
39,Friel Street and Union Street,course,Runners crossing Union Street onto Friel St.,45.972996,-66.638679,2,10,5,07:10:16,07:34:11,07:56:00,08:15:03,06:15:00,08:30:00,135.0,modeled,1,0,0,1,2,0,0,0,135,0,0,135,270,0,0,0,Stop traffic from crossing the trail while runners are there. Direct runners up Friel street to trail.,True,A3,watch,A,"66 bins flagged, severity: watch"
40,Trail at McKeen,course,East to Station Rd with runners crossing street on trail,45.972957,-66.635799,2,10,5,07:40:20,07:55:48,08:07:11,09:22:46,06:15:00,09:35:00,200.0,modeled,0,0,0,0,0,0,2,0,0,0,0,0,0,0,400,0,Onsite 30-min prior to start. Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.,True,E1,critical,C,"24 bins flagged, severity: critical"
41,Trail at Jaffery,course,East to Station Rd with runners crossing street on trail,45.972713,-66.635128,2,10,5,07:40:32,07:56:08,08:07:37,09:23:18,06:15:00,09:35:00,200.0,modeled,0,0,0,0,0,0,2,0,0,0,0,0,0,0,400,0,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.,True,E1,critical,C,"24 bins flagged, severity: critical"
42,St. Mary's Street and trail,course,East to Station Rd with runners crossing street on trail,45.972477,-66.634481,2,10,5,07:40:45,07:56:28,08:08:05,09:23:47,06:15:00,09:35:00,200.0,modeled,2,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.,True,E1,critical,C,"24 bins flagged, severity: critical"
43,Cliffe Street and trail,course,East to Station Rd with runners crossing street on trail,45.971631,-66.63265,2,10,5,07:41:20,07:57:25,08:09:25,09:25:15,06:15:00,09:40:00,205.0,modeled,2,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.,True,E1,critical,C,"24 bins flagged, severity: critical"
44,Trail at Hughes,course,East to Station Rd with runners crossing street on trail,45.970714,-66.631404,2,10,5,07:41:38,07:58:00,08:10:15,09:26:23,06:15:00,09:40:00,205.0,modeled,0,0,0,0,0,0,2,0,0,0,0,0,0,0,410,0,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.,True,E1,critical,C,"24 bins flagged, severity: critical"
45,Trail at Clark ,course,East to Station Rd with runners crossing street on trail,45.968541,-66.62843,2,10,5,07:42:59,08:00:04,08:13:06,09:29:18,06:15:00,09:40:00,205.0,modeled,0,0,0,0,0,0,2,0,0,0,0,0,0,0,410,0,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.,True,E2,watch,B,"26 bins flagged, severity: watch"
46,Trail at Neil,course,East to Station Rd with runners crossing street on trail,45.966391,-66.62559,2,10,5,07:43:52,08:01:38,08:15:07,09:32:01,06:15:00,09:45:00,210.0,modeled,0,0,0,0,0,0,2,0,0,0,0,0,0,0,420,0,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.,True,E2,watch,B,"26 bins flagged, severity: watch"
47,Trail at Pine,course,East to Station Rd with runners crossing street on trail,45.965865,-66.624915,2,10,5,07:44:22,08:02:15,08:15:55,09:32:44,06:15:00,09:45:00,210.0,modeled,0,0,0,0,0,0,2,0,0,0,0,0,0,0,420,0,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.,True,E3,watch,B,"25 bins flagged, severity: watch"
48,Trail at Gill,course,East to Station Rd with runners crossing street on trail,45.965322,-66.624234,2,10,5,07:44:38,08:02:42,08:16:30,09:33:25,06:15:00,09:45:00,210.0,modeled,0,0,0,0,0,0,2,0,0,0,0,0,0,0,420,0,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.,True,E3,watch,B,"25 bins flagged, severity: watch"
49,Trail and Gibson Street,course,East to Station Rd with runners crossing street on trail,45.962892,-66.620926,2,10,5,07:45:55,08:04:43,08:19:22,09:36:36,06:15:00,09:50:00,215.0,modeled,1,0,0,0,0,0,0,1,215,0,0,0,0,0,0,215,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.,True,E4,watch,B,"20 bins flagged, severity: watch"
50,Baker at Station,course,North (10K turn); East (Half and South (Full turn),45.959578,-66.619601,2,10,5,07:47:16,08:09:42,09:22:13,12:53:10,06:15:00,13:05:00,410.0,modeled,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,410,Stop traffic from crossing the trail towards soccer fields / treatment plant while runners are there.,True,E4,watch,B,"20 bins flagged, severity: watch"
51,Greenwood Drive (at Watters),course,East to Gibson Trail,45.953734,-66.617356,4,10,5,08:00:23,08:11:42,08:48:38,10:24:56,06:15:00,10:35:00,260.0,modeled,2,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,1 TCP Truck Required. Stop traffic from crossing the trail while runners are there. Re-open when last Marathon runner crosses second Greenwood.,True,I1,watch,A,"19 bins flagged, severity: watch"
52,Greenwood Drive (at Gibson Trail),course,North to Marysville,45.953354,-66.606298,4,10,5,08:04:45,08:18:17,08:56:07,10:36:06,06:15:00,10:50:00,275.0,modeled,2,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,1 TCP Truck Required. Second Greenwood traffic control point near the Baptist Church. Stop traffic from crossing the trail while runners are there. Re-open when last Marathon runner crosses second Greenwood.,True,I2,watch,A,"41 bins flagged, severity: watch"
53,Bridge Street and River Street,course,"River Street to Mill St., crossing bridge",45.978916,-66.5895,4,10,5,07:59:11,08:09:52,08:47:32,10:22:54,06:15:00,10:35:00,260.0,modeled,2,0,0,1,0,0,0,0,520,0,0,260,0,0,0,0,Full closure from 08:00 to 10:30 a.m.  Then traffic control at Bridge @ Mill St.,True,I1,watch,A,"19 bins flagged, severity: watch"
54,Fisher at McGloin,course,Runners crossing street on trail,45.975889,-66.588228,4,10,5,08:16:52,08:36:41,09:13:57,11:04:56,06:15:00,11:15:00,300.0,modeled,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,300,Stop traffic from crossing the trail while runners exit Gibson Trail on to McGloin Street. Remains in place until last runner crosses Marysville Bridge.,True,I4,watch,A,"74 bins flagged, severity: watch"
55,Gibson Trail exit at McGloin,course,Runners crossing street on trail,45.976241,-66.589311,4,10,5,08:16:52,08:36:41,09:13:57,11:04:56,06:15:00,11:15:00,300.0,modeled,0,0,0,0,2,0,2,0,0,0,0,0,600,0,600,0,Direct Runners onto McGloin Street (official course) and *not* on to the sidewalk. ,True,I4,watch,A,"74 bins flagged, severity: watch"
56,Minue Terrace (South),course,Runners on McGloin,45.976862,-66.589644,4,10,5,08:17:18,08:37:21,09:14:20,11:05:38,06:15:00,11:20:00,305.0,modeled,0,0,0,0,0,0,1,0,0,0,0,0,0,0,305,0,Stop traffic from entering McGloin while runners are there. Local traffic to exit towards Bridge St. to River and Allen St.,True,I5,watch,A,"8 bins flagged, severity: watch"
57,Minue Terrace (North),course,Runners on McGloin,45.977376,-66.58968,4,10,5,08:17:31,08:37:40,09:14:37,11:06:07,06:15:00,11:20:00,305.0,modeled,0,0,0,0,0,0,1,0,0,0,0,0,0,0,305,0,Stop traffic from entering McGloin while runners are there. Local traffic to exit towards Bridge St. to River and Allen St.,True,I5,watch,A,"8 bins flagged, severity: watch"
58,Morrison Street and Bridge Street,course,Runners at Bridge & River,45.978923,-66.588199,4,10,5,08:18:11,08:38:41,09:15:51,11:07:57,06:15:00,11:20:00,305.0,modeled,2,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,1 TCP Truck Required. Stop traffic at this point while Marysville Bridge is fully closed until 10:30 a.m. Turn on Morrison to Allen and Downing. Traffic control after 10:30 a.m. will be on Bridge and Mill Streets.,True,I5,watch,A,"8 bins flagged, severity: watch"
59,Bridge Street and Mill Street,course,Runners crossing Bridge St. both ways,45.978853,-66.592023,4,10,5,08:18:54,08:49:14,09:44:20,12:17:57,06:15:00,12:30:00,375.0,modeled,0,0,0,1,0,0,0,2,0,0,0,375,0,0,0,750,"Full closure from 08:00 to 10:30 a.m. Afterwards, traffic control at Bridge & Mill as runners cross both directions",True,K1,watch,A,"3 bins flagged, severity: watch"
60,Half Turn (Penniac Bridge),course,Runners crossing Bridge St. both ways,45.99598,-66.5744,4,10,5,08:28:06,08:53:43,09:38:11,11:56:07,06:15:00,12:10:00,355.0,modeled,0,0,0,0,1,0,0,0,0,0,0,0,355,0,0,0,Half Turn before Penniac Bridge; Full continue to Tree Farm for their Full Turn,True,J1,watch,A,"204 bins flagged, severity: watch"
61,Full Turn (Chase Tree Farm),course,Runners crossing Bridge St. both ways,,,4,10,5,,,,,06:15:00,,,modeled,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Full Turn at Tree Farm.,False,,,,
62,Canada Street and Miller Street,course,Traffic control both directions as runners cross street from trail.,45.975221,-66.592053,6,10,5,08:38:53,09:10:03,10:00:18,12:21:29,06:15:00,12:35:00,380.0,modeled,1,0,0,0,0,0,0,2,380,0,0,0,0,0,0,760,1 TCP Truck Required. Runners cross Canada Street from trail heading to Kaine Street (southerly direction) coming up the trail from Bridge Street.,True,K1,watch,A,"3 bins flagged, severity: watch"
63,Kaine Street at trail,course,Traffic control both directions,45.973112,-66.592822,6,10,5,08:39:54,09:11:36,10:02:01,12:23:53,06:15:00,12:35:00,380.0,modeled,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,760,Traffic control both directions as runners cross Kaine at trail.,True,K2,watch,A,"3 bins flagged, severity: watch"
64,Canada Street and Murray Avenue,course,Traffic control both directions,45.966065,-66.603455,6,10,5,08:44:09,09:18:02,10:09:53,12:34:01,06:15:00,12:45:00,390.0,modeled,1,0,0,1,0,0,0,2,390,0,0,390,0,0,0,780,Stop traffic from crossing the trail while runners are there. Full and Half runners heading southbound to Queen Sq.,True,K3,watch,A,"6 bins flagged, severity: watch"
65,Northside of Walking Bridge at Picaroons,course,Runners on trail both directions,45.957934,-66.624561,6,10,5,07:48:52,08:26:36,09:52:56,12:50:18,06:15:00,13:05:00,410.0,modeled,0,0,0,0,0,0,2,0,0,0,0,0,0,0,820,0,Stop any bike or foot traffic coming from Picaroons Roundhouse. Remind event in progress and mindful or traffic on Walking Bridge (remains open).,True,L1,watch,A,"207 bins flagged, severity: watch"
66,Northside Trail meets sidewalk from Union St Cross-walk,course,Runners on trail both directions,45.974361,-66.640142,2,10,5,07:11:17,07:30:53,07:59:04,09:19:38,06:15:00,09:30:00,195.0,modeled,0,0,0,0,0,0,1,0,0,0,0,0,0,0,195,0,Stop non-participant foot & cycle traffic when runners are approaching. Expecting low traffic at this point.,True,B1,critical,D,"106 bins flagged, severity: critical"
67,Northside Trail at Friel St.,course,Traffic control both directions as runners cross street from trail.,45.97375,-66.638189,2,10,5,07:10:38,07:30:15,07:59:55,09:21:01,06:15:00,09:35:00,200.0,modeled,0,0,0,0,0,0,1,0,0,0,0,0,0,0,200,0,Stop traffic from crossing the trail while runners are coming from both directions.,True,B1,critical,D,"106 bins flagged, severity: critical"
68,Northside Trail and Douglas Ave,course,Traffic control both directions,45.974816,-66.641483,2,10,5,07:11:44,07:31:19,07:58:17,09:18:39,06:15:00,09:30:00,195.0,modeled,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,195,Stop traffic from crossing the trail while runners are coming from both directions.,True,B1,critical,D,"106 bins flagged, severity: critical"
69,Northside Trail and Lynn Ave.,course,Runners on trail both directions,45.975435,-66.643328,2,10,5,07:12:21,07:31:55,07:57:15,09:17:18,06:15:00,09:30:00,195.0,modeled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gate that prevents vehicle traffic entering trail. Watch for bikers and walkers from Preston Dr.,True,B1,critical,D,"106 bins flagged, severity: critical"
70,Northside Trail at Wallace,course,Traffic control both directions,45.976546,-66.646654,2,10,5,07:13:29,07:33:00,07:55:36,09:14:52,06:15:00,09:25:00,190.0,modeled,1,0,0,0,0,0,0,1,190,0,0,0,0,0,0,190,Stop traffic from crossing the trail while runners (coming both directions) are crossing,True,B1,critical,D,"106 bins flagged, severity: critical"
