seg_id,seg_label,width_m,schema,direction,full,half,10k,elite,open,full_from_km,full_to_km,half_from_km,half_to_km,10k_from_km,10k_to_km,elite_from_km,elite_to_km,open_from_km,open_to_km,full_length,half_length,10k_length,elite_length,open_length,description
N4,104th to Queen/York,5,on_course_open,uni,n,n,n,y,n,0,0,0,0,0,0,1.88,2.58,0,0,0,0,0,0.7,0,104th to Queen/York
N5,Queen/York to Queen at PSAB (Lap 2),5,on_course_open,uni,n,n,n,y,n,0,0,0,0,0,0,2.58,3.15,0,0,0,0,0,0.57,0,Queen/York to Queen at PSAB
N6,Queen at PSAB to PSAB/WSB (Lap 2),5,on_course_open,uni,n,n,n,y,n,0,0,0,0,0,0,3.15,3.68,0,0,0,0,0,0.53,0,Queen at PSAB to PSAB/WSB
N7,PSAB/WSB to 104th Bridge (Lap 2),5,on_course_open,uni,n,n,n,y,n,0,0,0,0,0,0,3.68,4.11,0,0,0,0,0,0.43,0,PSAB/WSB to 104th Bridge
N8,104th to Queen/York (Lap 2),5,on_course_open,uni,n,n,n,y,n,0,0,0,0,0,0,4.11,4.81,0,0,0,0,0,0.7,0,104th to Queen/York
N9,Queen/York to Finish,5,on_course_open,uni,n,n,n,y,n,0,0,0,0,0,0,4.81,5,0,0,0,0,0,0.19,0,Queen/York to Finish
O1,Start to Queen/Westmorland,5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0.57,Start to Queen/Westmorland
O2,Queen/Westmorland to PSAB/WSB,5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,0.57,1.45,0,0,0,0,0.88,Queen/Westmorland to PSAB/WSB
O3,PSAB/WSB to 104th Bridge,5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,1.45,1.88,0,0,0,0,0.43,PSAB/WSB to 104th Bridge
O4,104th to Queen/York,5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,1.88,2.58,0,0,0,0,0.7,104th to Queen/York
O5,Queen/York to Queen at PSAB (Lap 2),5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,2.58,3.15,0,0,0,0,0.57,Queen/York to Queen at PSAB
O6,Queen at PSAB to PSAB/WSB (Lap 2),5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,3.15,3.68,0,0,0,0,0.53,Queen at PSAB to PSAB/WSB
O7,PSAB/WSB to 104th Bridge (Lap 2),5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,3.68,4.11,0,0,0,0,0.43,PSAB/WSB to 104th Bridge
O8,104th to Queen/York (Lap 2),5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,4.11,4.81,0,0,0,0,0.7,104th to Queen/York
O9,Queen/York to Finish,5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,4.81,5,0,0,0,0,0.19,Queen/York to Finish
