seg_id,segment_label,eventA,eventB,from_km_A,to_km_A,from_km_B,to_km_B,direction,width_m,notes,Analysis,gpt_analysis
I2,Station/Barker to Bridge/Mill (Full outbound),Full,Full,23.26,29.06,23.26,29.06,uni,3,Full outbound toward Bridge/Mill. There will also be Half runners on this segment - captured in I1. Should this be combined event_A = Full and event_B = Full for density (or does the logic pick up same runner time-stamps in the overtake/overlap?),Density,confirm
I3,Station/Barker to Bridge/Mill (Half + Full co-direction),Half,Full,4.95,10.84,23.26,29.06,uni,3,"Half + Full share same direction. Maybe I3 addresses my question in I1 and I2. This is likely picking up the overtake, while I1+I2 is density? TBD",TBD,confirm
J1,Bridge/Mill to Half Turn (Half outbound),Half,Half,10.84,13.43,10.84,13.43,uni,3,Half outbound toward Half Turn (co-direction). This is likely a 1.5m and not truly uni as there will be Half + Full returning in K1.,TBD,analyze
J2,Bridge/Mill to Half Turn (Full outbound),Full,Full,29.06,31.64,29.06,31.64,uni,3,Full outbound toward Half Turn (co-direction). Same question as in J1,TBD,analyze
J3,Bridge/Mill to Half Turn (Half + Full co-direction),Half,Full,10.84,13.43,29.06,31.64,uni,3,"Half + Full share the same path outbound. This might be picking up the overtake/density? Needs to be analyzed in broader context with J1, J2",TBD,analyze
K1,Half Turn to Full Turn (Full outbound spur),Full,Full,31.64,33.11,31.64,33.11,uni,3,Full continues past Half Turn to Full Turn. This is Full only. Not likely a uni as it is a turn-around and is picked up in K2. So it remain uni and 3.0m width_m for only so long as there is no opposing runners.,Density,analyze
K2,Full Turn to Half Turn (Full returning spur),Full,Full,33.11,34.34,33.11,34.34,uni,3,Full returns from Full Turn back to Half Turn. Same question posed in K1,Density,analyze
L1,Half Turn to Bridge/Mill (Half returning),Half,Half,13.43,16.02,13.43,16.02,uni,3,Half returning to Bridge/Mill. This is bi/1.5m as this segment is shared with Full runners and will have out/returning runners in both events. ,Density,analyze
L2,Half Turn to Bridge/Mill (Full returning),Full,Full,34.34,35.47,34.34,36.92,uni,3,Full returning to Bridge/Mill (same path as Half return). Same question in L1 here.,Density,analyze
L3,Half Turn to Bridge/Mill (Half + Full co-direction return),Half,Full,13.43,16.02,34.34,36.92,uni,3,Half + Full co-direction on return leg. This could be an overtake (faster Half meeting slower Full) + density.,TBD,analyze
L4,Bridge/Mill sector counter-flow (optional),Full,Half,34.34,36.92,10.84,13.43,bi,1.5,"Full returning may face late Half outbound (counter-flow on this sector). Not sure what ChatGPT was thinking here, or where this is on the map.",TBD,analyze
M1,Bridge/Mill to Station/Barker (Full returning vs Half outbound),Full,Half,36.92,40.5,16.02,19.35,uni,3,Full returning faces Half outbound (counter-flow). The segment from Bridge/Mill to Station/Barker is one-way and can't be a returning/outbound. ChatGPT recommended and not sure what this is now.,TBD,analyze
M2,Bridge/Mill to Station/Barker (Full returning vs Full outbound),Full,Full,36.92,40.5,36.92,40.5,uni,3,"Faster Fulls returning vs slower Fulls still outbound (counter-flow), See M1 question -- applies here.",TBD,analyze
